Country,Population,Distance,Temperature,Religion,Ethnicities,Yearly Wage,Expenses,Language,Urbaness,Diplomatic Status,Latitude,Longitude
Albania,2.8,200,Moderate,Islam/Christianity,Albanian/Greek/Vlach/Macedonian,8000,5000,Albanian/Greek,60,Republic,41.1533,20.1683
Andorra,0.08,200,Cold,Christianity,Andorran/Spanish,35000,30000,Catalan/French,90,Parliamentary,42.5078,1.5211
Armenia,3,500,Hot,Christianity,Armenian/Yezidi,5000,4000,Armenian,60,Republic,40.0691,45.0382
Austria,9,600,Cold,Christianity,Austrian/Slovenian/Croatian,45000,30000,German/Slovenian,70,Neutral,47.5162,14.5501
Azerbaijan,10,1000,Hot,Islam/Christianity,Azerbaijani/Lezgian/Russian/Talysh,8500,7000,Azerbaijani/Russian/Lezgian,50,Republic,40.1431,47.5769
Belarus,9.4,300,Cold,Christianity/Catholic,Belarusian/Russian/Polish,8000,6000,Belarusian/Russian,75,Republic,53.7098,27.9534
Belgium,11.5,200,Moderate,Christianity,Belgian/German/Italian,52000,35000,Dutch/French/German/Luxembourgish,98,Federal Parliamentary,50.8503,4.3517
Bosnia and Herzegovina,3.3,400,Moderate,Islam/Christianity,Bosnian/Serbian/Croatian,7000,4500,Bosnian/Serbian/Croatian,60,Republic,43.9159,17.6791
Bulgaria,7,150,Moderate,Christianity,Bulgarian/Turkish/Roma,12000,8000,Bulgarian/Turkish,70,Republic,42.7339,25.4858
Croatia,4,100,Moderate,Christianity,Croat/Serb/Italian/Hungarian,18000,13000,Croatian/Serbian/Italian,60,Republic,45.1,15.2
Cyprus,1.2,800,Hot,Christianity,Greek/Turkish/Maronite,28000,18000,Greek/Turkish,75,Republic,35.1264,33.4299
Czechia,10.7,300,Cold,Christianity,Czech/Slovak/Polish,25000,20000,Czech/Slovak,70,Parliamentary Republic,49.8175,15.473
Denmark,5.8,200,Moderate,Christianity,Danish/Faroese/Greenlandic,55000,35000,Danish/Greenlandic/Faroese,85,Constitutional Monarchy,56.2639,9.5018
Estonia,1.3,200,Cold,Christianity,Estonian/Russian,22000,18000,Estonian/Russian,70,Parliamentary Republic,58.5953,25.0136
Finland,5.5,100,Cold,Christianity,Finnish/Swedish,45000,30000,Finnish/Swedish,70,Republic,61.9241,25.7482
France,67,300,Moderate,Christianity,French/African/Arab,40000,30000,French/Arabic/Berber,80,Republic,46.6034,1.8883
Georgia,3.7,600,Moderate,Christianity,Georgian/Armenian/Russian/Ossetian,6000,5000,Georgian/Russian/Armenian,55,Republic,42.3154,43.3569
Germany,83,300,Moderate,Christianity,German/Turkish/Polish/Russian,50000,35000,German/Turkish/Polish/English,75,Federal Republic,51.1657,10.4515
Greece,10.5,500,Hot,Christianity,Greek/Turkish/Macedonian,20000,15000,Greek/Turkish,80,Parliamentary Republic,39.0742,21.8243
Hungary,9.7,100,Cold,Christianity,Hungarian/Roma,15000,12000,Hungarian/Romainian,70,Republic,47.1625,19.5033
Iceland,0.35,500,Cold,Christianity,Icelandic,60000,40000,Icelandic,90,Republic,64.9631,-19.0208
Ireland,5,200,Moderate,Christianity,Irish/various ethnicities,45000,30000,Irish/English/Ulster Scots,70,Parliamentary Republic,53.4129,-8.2439
Italy,60,300,Hot,Christianity,Italian/Albanian/Romanian,30000,22000,Italian/German/Albanian/Neapolitan,70,Republic,41.8719,12.5674
Kosovo,1.8,200,Moderate,Islam/Christianity,Albanian/Serbian,10000,7000,Albanian/Serbian,40,Republic,42.6026,20.902
Latvia,1.9,100,Cold,Christianity,Latvian/Russian,18000,14000,Latvian/Russian,70,Republic,56.8796,24.6032
Liechtenstein,0.04,300,Cold,Christianity,Liechtensteinian/Swiss,120000,80000,German/Liechtensteinian,90,Principality,47.166,9.5554
Lithuania,2.8,200,Cold,Christianity,Lithuanian/Polish,20000,15000,Lithuanian/Polish,70,Republic,55.1694,23.8813
Luxembourg,0.65,100,Moderate,Christianity,Luxembourger/French/German,100000,70000,Luxembourgish/French/German,85,Grand Duchy,49.8153,6.1296
Malta,0.5,200,Hot,Christianity,Maltese/English,30000,22000,Maltese/English,95,Republic,35.9375,14.3754
Moldova,2.7,250,Moderate,Christianity/Catholic,Moldovan/Russian,5000,4500,Romanian/Russian,60,Republic,47.4116,28.3699
Monaco,0.04,100,Hot,Christianity/Catholic,Monégasque/French,190000,150000,French/MonÃ©gasque,100,Constitutional Monarchy,43.7384,7.4246
Montenegro,0.62,150,Hot,Christianity,Montenegrin/Serbian,9000,6000,Montenegrin/Serbian,60,Republic,42.7087,19.3744
Netherlands,17.4,300,Moderate,Christianity,Dutch/Frisian/Indonesian,55000,38000,Dutch/Frisian/English/Indonesian,92,Constitutional Monarchy,52.1326,5.2913
North Macedonia,2.1,100,Moderate,Islam/Christianity,Macedonian/Albanian/Serbian,8000,6000,Macedonian/Albanian/Serbian,60,Republic,41.9981,21.4254
Norway,5.4,100,Cold,Christianity,Norwegian/Sami,60000,35000,Norwegian/Sami,82,Constitutional Monarchy,60.472,8.4689
Poland,38.3,500,Moderate,Christianity,Polish,15000,10000,Polish,60,Republic,51.9194,19.1451
Portugal,10.2,800,Moderate,Christianity,Portuguese,28000,18000,Portuguese,66,Republic,39.3999,-8.2245
